Sales,CompPrice,Advertising,Population,Price,Age,Education,Income
9.5,138,11,276,120,42,17,73
11.22,111,16,260,83,65,10,48
10.06,113,10,269,80,59,12,35
7.4,117,4,466,97,55,14,100
4.15,141,3,340,128,38,13,64
10.81,124,13,501,72,78,16,113
6.63,115,0,45,108,71,15,105
11.85,136,15,425,120,67,10,81
6.54,132,0,108,124,76,10,110
4.69,132,0,131,124,76,17,113
9.01,121,9,150,100,26,10,78
11.96,117,4,503,94,50,13,94
3.98,122,2,393,136,62,18,35
10.96,115,11,29,86,53,18,28
11.17,107,11,148,118,52,18,117
8.71,149,5,400,144,76,18,95
7.58,118,0,284,110,63,13,32
12.29,147,13,251,131,52,10,74
13.91,110,0,408,68,46,17,110
8.73,129,16,58,121,69,12,76
6.41,125,2,367,131,35,18,90
12.13,134,12,239,109,62,18,29
5.08,128,6,497,138,42,13,46
5.87,121,0,292,109,79,10,31
10.14,145,16,294,113,42,12,119
14.9,139,0,176,82,54,11,32
8.33,107,11,496,131,50,11,115
5.27,98,0,19,107,64,17,118
2.99,103,0,359,97,55,11,74
7.81,104,15,226,102,58,17,99
13.55,125,0,447,89,30,12,94
8.25,136,16,241,131,44,18,58
6.2,107,12,236,137,64,10,32
8.77,114,13,317,128,50,16,38
2.67,115,0,406,128,42,17,54
11.07,131,11,29,96,44,17,84
8.89,122,0,270,100,60,18,76
4.95,121,5,412,110,54,10,41
6.59,109,0,454,102,65,15,73
3.24,130,0,144,138,38,10,60
2.07,119,0,18,126,73,17,98
7.96,157,0,403,124,58,16,53
10.43,77,0,25,24,50,18,69
4.12,123,11,16,134,59,13,42
4.16,85,6,325,95,69,13,79
4.56,141,0,168,135,44,12,63
12.44,127,14,16,70,48,15,90
4.38,126,0,173,108,55,16,98
3.91,116,0,349,98,69,18,52
10.61,157,0,51,149,32,17,93
1.42,99,18,341,108,80,16,32
4.42,121,0,150,108,75,16,90
7.91,153,3,112,129,39,18,40
6.92,109,13,39,119,61,17,64
4.9,134,13,25,144,76,17,103
6.85,143,5,60,154,61,18,81
11.91,133,0,54,84,50,17,82
0.91,93,0,22,117,75,11,91
5.42,103,15,188,103,74,16,93
5.21,118,4,148,114,80,13,71
8.32,122,19,469,123,29,13,102
7.32,105,0,358,107,26,13,32
1.82,139,0,146,133,77,17,45
8.47,119,10,170,101,61,13,88
7.8,100,12,184,104,32,16,67
4.9,122,0,197,128,55,13,26
8.85,127,0,508,91,56,18,92
9.01,126,14,152,115,47,16,61
13.39,149,20,366,134,60,13,69
7.99,127,0,339,99,65,12,59
9.46,89,15,237,99,74,12,81
6.5,148,16,148,150,58,17,51
5.52,115,0,432,116,25,15,45
12.61,118,10,54,104,31,11,90
6.2,150,5,125,136,64,13,68
8.55,88,23,480,92,36,16,111
10.64,102,10,346,70,64,15,87
7.7,118,12,44,89,67,18,71
4.43,134,1,139,145,65,12,48
9.14,134,0,286,90,41,13,67
8.01,113,16,353,79,68,11,100
7.52,116,0,237,128,70,13,72
11.62,151,4,325,139,28,17,83
4.42,109,7,468,94,56,11,36
2.23,111,0,52,121,43,18,25
8.47,125,0,304,112,49,13,103
8.7,150,9,432,134,64,15,84
11.7,131,7,272,126,54,16,67
6.56,117,7,144,111,62,10,42
7.95,128,3,493,119,45,16,66
5.33,115,0,491,103,64,11,22
4.81,97,11,267,107,80,15,46
4.53,114,0,97,125,29,12,113
8.86,145,0,67,104,55,17,30
8.39,115,5,134,84,55,11,97
5.58,134,10,237,148,59,13,25
9.48,147,10,407,132,73,16,42
7.45,161,5,287,129,33,16,82
12.49,122,24,382,127,36,16,77
4.88,121,3,220,107,56,16,47
4.11,113,11,94,106,76,12,69
6.2,128,0,89,118,34,18,93
5.3,113,0,57,97,65,16,22
5.07,123,0,334,96,78,17,91
4.62,121,0,472,138,51,12,96
5.55,104,8,398,97,61,11,100
0.16,102,0,217,139,70,18,33
8.55,134,0,104,108,60,12,107
3.47,107,2,488,103,65,16,79
8.98,115,0,217,90,60,17,65
9,128,7,125,116,43,14,62
6.62,132,12,272,151,43,14,118
6.67,116,5,298,125,62,12,99
6.01,131,11,335,127,33,12,29
9.31,122,9,17,106,65,13,87
8.54,139,0,95,129,42,13,35
5.08,135,0,202,128,80,10,75
8.8,145,0,507,119,41,12,53
7.57,112,2,243,99,62,11,88
7.37,130,8,137,128,64,12,94
6.87,128,11,249,131,63,13,105
11.67,125,10,380,87,28,10,89
6.88,119,5,45,108,75,10,100
8.19,127,0,125,155,29,15,103
8.87,131,0,181,120,63,14,113
9.34,89,0,181,49,43,15,78
